"Data generated on Saturday, April 5, 2025 at 4:03:51 PM EST",,,,,,,,,,,,,,,,,,,
Area/Partners of Destination,,,,,January - December,,,,,,,,,,,,,,
And Commodities Exported,,,,,Cumulative To Date Values in Thousands of dollars,,,,,,,,,,,,,,
,,,,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Jan - Feb 2024,Jan - Feb 2025,,,,
,Partner,,Product,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Period/Period %  Change (Value),Reporter Code,Partner Code,Product Code
1,Mexico,1,Dairy & Products,"1,257,829","1,199,187","1,292,741","1,374,893","1,526,161","1,400,922","1,786,089","2,442,467","2,317,883","2,469,664","360,198","396,169",10,US,MX,0300GR
2,Canada,1,Dairy & Products,"625,539","697,082","699,376","699,503","728,173","736,085","854,664","1,031,097","1,086,808","1,138,166","164,910","232,253",41,US,CA,0300GR
3,China,1,Dairy & Products,"451,608","386,524","576,551","497,851","372,772","538,523","700,716","802,813","607,303","584,004","86,205","103,375",20,US,CH,0300GR
4,Japan,1,Dairy & Products,"273,286","205,797","290,819","269,407","282,019","322,435","372,964","520,468","387,330","394,606","64,246","86,565",35,US,JA,0300GR
5,"Korea, South",1,Dairy & Products,"305,431","231,106","278,748","290,304","330,009","370,089","420,171","568,552","320,271","385,660","57,038","79,461",39,US,KS,0300GR
6,Other Partners total,1,Dairy & Products,"2,306,211","1,969,277","2,229,835","2,346,846","2,675,172","3,080,204","3,461,498","4,180,237","3,276,983","3,247,269","524,457","532,140",-131,,,
,Grand Total,,,"5,219,904","4,688,973","5,368,070","5,478,804","5,914,306","6,448,258","7,596,102","9,545,634","7,996,578","8,219,369","1,257,054","1,429,963",14,,,
Notes:,,,,,,,,,,,,,,,,,,,
1. Data Source: U.S. Census Bureau Trade Data,,,,,,,,,,,,,,,,,,,
2. (*) denotes a country that is a summarization of its component countries.,,,,,,,,,,,,,,,,,,,
3. Product Group : FAS &#40;Agricultural&#41;,,,,,,,,,,,,,,,,,,,
