"Data generated on Saturday, April 5, 2025 at 3:41:27 PM EST",,,,,,,,,,,,,,,,,,,
Area/Partners of Destination,,,,,January - December,,,,,,,,,,,,,,
And Commodities Exported,,,,,Cumulative To Date Values in Thousands of dollars,,,,,,,,,,,,,,
,,,,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Jan - Feb 2024,Jan - Feb 2025,,,,
,Partner,,Product,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Period/Period %  Change (Value),Reporter Code,Partner Code,Product Code
1,Canada,1,Egg and Egg Products,"183,545","97,526","102,320","120,504","98,603","84,215","103,673","182,864","200,503","234,614","31,444","114,545",264,US,CA,0507AT
2,Mexico,1,Egg and Egg Products,"186,364","181,039","169,406","166,108","181,380","191,637","215,241","194,108","218,731","169,313","32,551","28,186",-13,US,MX,0507AT
3,Jamaica,1,Egg and Egg Products,"20,810","25,895","23,382","25,772","27,770","23,995","32,179","42,719","43,804","48,272","7,114","7,973",12,US,JM,0507AT
4,Japan,1,Egg and Egg Products,"45,726","48,547","56,407","48,317","38,207","39,586","49,135","46,681","54,763","40,424","6,700","4,990",-26,US,JA,0507AT
5,Brazil,1,Egg and Egg Products,"22,443","18,211","22,127","31,871","40,075","37,905","28,044","39,420","42,505","40,192","7,127","9,908",39,US,BR,0507AT
6,Other Partners total,1,Egg and Egg Products,"175,599","178,765","192,883","198,889","203,471","217,298","302,551","212,926","200,583","211,472","33,187","38,597",-203,,,
,Grand Total,,,"634,487","549,983","566,525","591,461","589,506","594,636","730,823","718,718","760,889","744,287","118,123","204,199",73,,,
Notes:,,,,,,,,,,,,,,,,,,,
1. Data Source: U.S. Census Bureau Trade Data,,,,,,,,,,,,,,,,,,,
2. (*) denotes a country that is a summarization of its component countries.,,,,,,,,,,,,,,,,,,,
3. Product Group : FAS &#40;Agricultural&#41;,,,,,,,,,,,,,,,,,,,
