"Data generated on Saturday, April 5, 2025 at 3:29:27 PM EST",,,,,,,,,,,,,,,,,,,
Area/Partners of Destination,,,,,January - December,,,,,,,,,,,,,,
And Commodities Exported,,,,,Cumulative To Date Values in Thousands of dollars,,,,,,,,,,,,,,
,,,,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Jan - Feb 2024,Jan - Feb 2025,,,,
,Partner,,Product,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Period/Period %  Change (Value),Reporter Code,Partner Code,Product Code
1,Canada,1,Fruits and Preparations,"2,577,982","2,497,119","2,466,850","2,386,523","2,328,247","2,417,684","2,594,858","2,808,125","2,813,708","2,826,856","315,598","309,831",-2,US,CA,0700AG
2,Mexico,1,Fruits and Preparations,"744,186","663,235","729,071","790,166","797,208","750,720","1,003,884","965,976","1,071,141","1,263,147","152,315","157,642",3,US,MX,0700AG
3,"Korea, South",1,Fruits and Preparations,"548,868","528,675","631,768","622,095","526,246","574,733","561,275","421,033","433,411","492,703","106,500","103,084",-3,US,KS,0700AG
4,Japan,1,Fruits and Preparations,"574,781","608,269","577,028","592,330","566,267","537,053","536,430","465,791","397,412","378,670","63,166","74,667",18,US,JA,0700AG
5,Taiwan,1,Fruits and Preparations,"241,041","258,009","256,050","232,544","289,683","231,229","249,955","232,119","258,615","294,562","31,415","22,774",-28,US,TW,0700AG
6,Other Partners total,1,Fruits and Preparations,"2,726,118","2,679,077","2,681,802","2,571,293","2,273,102","2,075,767","1,953,101","1,834,099","1,789,115","1,981,355","277,971","289,030",13,,,
,Grand Total,,,"7,412,976","7,234,384","7,342,569","7,194,951","6,780,753","6,587,186","6,899,503","6,727,143","6,763,402","7,237,293","946,965","957,028",1,,,
Notes:,,,,,,,,,,,,,,,,,,,
1. Data Source: U.S. Census Bureau Trade Data,,,,,,,,,,,,,,,,,,,
2. (*) denotes a country that is a summarization of its component countries.,,,,,,,,,,,,,,,,,,,
3. Product Group : FAS &#40;Agricultural&#41;,,,,,,,,,,,,,,,,,,,
