"Data generated on Saturday, April 5, 2025 at 4:07:14 PM EST",,,,,,,,,,,,,,,,,,,
Area/Partners of Destination,,,,,January - December,,,,,,,,,,,,,,
And Commodities Exported,,,,,Cumulative To Date Values in Thousands of dollars,,,,,,,,,,,,,,
,,,,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Jan - Feb 2024,Jan - Feb 2025,,,,
,Partner,,Product,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Period/Period %  Change (Value),Reporter Code,Partner Code,Product Code
1,Mexico,1,Poultry & Products,"1,242,604","1,137,503","1,124,609","1,143,432","1,280,067","1,197,378","1,567,482","1,477,586","1,518,544","1,676,191","256,674","286,373",12,US,MX,0350GR
2,Canada,1,Poultry & Products,"827,171","663,780","622,942","592,828","522,327","503,894","579,576","832,572","793,975","847,064","120,306","228,415",90,US,CA,0350GR
3,China,1,Poultry & Products,"74,009","45,528","52,911","64,601","22,383","774,404","911,250","1,113,257","766,574","551,165","94,027","68,867",-27,US,CH,0350GR
4,Cuba,1,Poultry & Products,"77,645","105,157","165,360","154,538","190,395","143,673","283,142","295,865","289,958","320,681","55,214","66,888",21,US,CU,0350GR
5,Taiwan,1,Poultry & Products,"168,290","132,317","159,220","198,709","215,598","231,214","173,633","292,405","366,197","268,787","59,420","60,941",3,US,TW,0350GR
6,Other Partners total,1,Poultry & Products,"2,525,238","2,569,592","2,966,617","2,987,308","2,941,280","2,258,695","2,768,106","3,006,892","2,877,691","3,021,507","462,677","449,812",-88,,,
,Grand Total,,,"4,914,957","4,653,877","5,091,659","5,141,416","5,172,050","5,109,258","6,283,189","7,018,577","6,612,939","6,685,395","1,048,318","1,161,296",11,,,
Notes:,,,,,,,,,,,,,,,,,,,
1. Data Source: U.S. Census Bureau Trade Data,,,,,,,,,,,,,,,,,,,
2. (*) denotes a country that is a summarization of its component countries.,,,,,,,,,,,,,,,,,,,
3. Product Group : FAS &#40;Agricultural&#41;,,,,,,,,,,,,,,,,,,,
