"Data generated on Saturday, April 5, 2025 at 3:39:31 PM EST",,,,,,,,,,,,,,,,,,,
Area/Partners of Destination,,,,,January - December,,,,,,,,,,,,,,
And Commodities Exported,,,,,Cumulative To Date Values in Thousands of dollars,,,,,,,,,,,,,,
,,,,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Jan - Feb 2024,Jan - Feb 2025,,,,
,Partner,,Product,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Period/Period %  Change (Value),Reporter Code,Partner Code,Product Code
1,China,1,"Variety Meats, Pork","145,238","245,187","250,947","130,794","243,093","446,388","639,544","697,298","710,188","646,642","104,198","105,342",1,US,CH,0619AT
2,Mexico,1,"Variety Meats, Pork","168,410","187,676","191,422","152,033","148,532","123,093","172,612","167,518","220,348","214,471","35,693","37,440",5,US,MX,0619AT
3,Philippines,1,"Variety Meats, Pork","15,606","14,971","16,408","23,776","12,749","15,696","23,618","24,101","29,871","54,541","6,026","5,855",-3,US,RP,0619AT
4,Canada,1,"Variety Meats, Pork","11,881","14,373","18,702","17,391","18,173","19,500","22,386","20,020","22,791","25,902","4,683","4,630",-1,US,CA,0619AT
5,"Korea, South",1,"Variety Meats, Pork","21,133","13,875","18,120","26,262","17,067","11,844","15,894","16,923","14,033","16,698","3,933","2,459",-37,US,KS,0619AT
6,Other Partners total,1,"Variety Meats, Pork","239,671","316,856","390,221","319,383","201,299","122,758","83,817","83,996","83,446","79,880","16,710","13,479",34,,,
,Grand Total,,,"601,939","792,938","885,820","669,639","640,913","739,279","957,871","1,009,856","1,080,677","1,038,134","171,243","169,205",-1,,,
Notes:,,,,,,,,,,,,,,,,,,,
1. Data Source: U.S. Census Bureau Trade Data,,,,,,,,,,,,,,,,,,,
2. (*) denotes a country that is a summarization of its component countries.,,,,,,,,,,,,,,,,,,,
3. Product Group : FAS &#40;Agricultural&#41;,,,,,,,,,,,,,,,,,,,
