"Data generated on Saturday, April 5, 2025 at 3:56:44 PM EST",,,,,,,,,,,,,,,,,,,
Area/Partners of Destination,,,,,January - December,,,,,,,,,,,,,,
And Commodities Exported,,,,,Cumulative To Date Values in Thousands of dollars,,,,,,,,,,,,,,
,,,,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Jan - Feb 2024,Jan - Feb 2025,,,,
,Partner,,Product,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Period/Period %  Change (Value),Reporter Code,Partner Code,Product Code
1,India,1,Tree Nuts And Preparations,"605,651","521,346","738,037","662,535","823,196","913,556","884,881","1,001,379","1,095,455","1,117,246","193,343","187,122",-3,US,IN,0774AG
2,China,1,Tree Nuts And Preparations,"207,643","181,983","241,516","327,129","604,786","746,653","973,444","802,398","1,184,098","1,063,754","190,835","10,815",-94,US,CH,0774AG
3,Germany,1,Tree Nuts And Preparations,"664,645","497,122","612,057","625,366","699,477","746,288","793,973","768,795","547,458","710,867","145,857","148,728",2,US,GM,0774AG
4,Canada,1,Tree Nuts And Preparations,"683,825","596,606","640,534","693,817","695,207","736,578","717,176","695,393","640,716","680,401","105,907","125,983",19,US,CA,0774AG
5,Spain,1,Tree Nuts And Preparations,"804,914","713,946","670,119","694,943","799,146","664,028","665,615","664,506","525,512","606,019","100,030","129,586",30,US,SP,0774AG
6,Other Partners total,1,Tree Nuts And Preparations,"5,458,435","5,379,870","5,561,617","5,503,013","5,443,986","4,585,319","4,815,239","5,050,638","4,819,597","5,645,110","932,593","949,327",39,,,
,Grand Total,,,"8,425,113","7,890,873","8,463,880","8,506,803","9,065,798","8,392,422","8,850,328","8,983,109","8,812,836","9,823,397","1,668,565","1,551,561",-7,,,
Notes:,,,,,,,,,,,,,,,,,,,
1. Data Source: U.S. Census Bureau Trade Data,,,,,,,,,,,,,,,,,,,
2. (*) denotes a country that is a summarization of its component countries.,,,,,,,,,,,,,,,,,,,
3. Product Group : FAS &#40;Agricultural&#41;,,,,,,,,,,,,,,,,,,,
